,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1302,AS_NP26,GEN,SANLOB_1_LNDFIL,SNLSOB_7_N003,36999_SN LS OB_12.0_GULF,22M7_DB114,2022-07-28T00:00:00,3906,E0254,-120.599339783,35.1868409040001
1303,AS_SP15,GEN,SANLOB_1_LNDFIL,SNLSOB_7_N003,36999_SN LS OB_12.0_GULF,22M7_DB114,2022-07-28T00:00:00,3906,E0254,-120.599339783,35.1868409040001
1304,AS_NP15,GEN,SANTFG_7_UNITS,SANTFG_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,3941,T0050,-122.744892548,38.789585452
1305,AS_NP26,GEN,SANTFG_7_UNITS,SANTFG_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,3941,T0050,-122.744892548,38.789585452
1306,AS_SP15,GEN,SANTGO_2_LNDFL1,SANTIAGO_6_N025,24133_SANTIAGO_66.0_GULF,22M7_DB114,2022-07-28T00:00:00,3942,E0226,-117.710608882,33.715710716
1307,AS_SP26,GEN,SANTGO_2_LNDFL1,SANTIAGO_6_N025,24133_SANTIAGO_66.0_GULF,22M7_DB114,2022-07-28T00:00:00,3942,E0226,-117.710608882,33.715710716
1308,AS_SP15,GEN,SANTGO_2_MABBT1,SANTIAGO_6_N026,24133_SANTIAGO_66.0_GUB1,22M7_DB114,2022-07-28T00:00:00,3943,B0004,-117.832278669,33.6910055390001
1309,AS_SP26,GEN,SANTGO_2_MABBT1,SANTIAGO_6_N026,24133_SANTIAGO_66.0_GUB1,22M7_DB114,2022-07-28T00:00:00,3943,B0004,-117.832278669,33.6910055390001
1310,AS_SP26,GEN,SANWD_1_QF,SANWIND_1_N001,25646_SANWIND _115_GUQF,22M7_DB114,2022-07-28T00:00:00,3946,W0261,-116.614712854,33.927413857
1311,AS_SP15,GEN,SANWD_1_QF,SANWIND_1_N001,25646_SANWIND _115_GUQF,22M7_DB114,2022-07-28T00:00:00,3946,W0261,-116.614712854,33.927413857
1312,AS_SP26,GEN,SAUGUS_6_CREST,SAUGUS_6_N015,24135_SAUGUS  _66.0_GU1,22M7_DB114,2022-07-28T00:00:00,3950,H0078,-118.624035521,34.262032946
1313,AS_SP15,GEN,SAUGUS_6_CREST,SAUGUS_6_N015,24135_SAUGUS  _66.0_GU1,22M7_DB114,2022-07-28T00:00:00,3950,H0078,-118.624035521,34.262032946
